"","Department","Date","Zile"
"1","Brachytherapy",2022-03-04,3
"2","Brachytherapy",2022-03-11,2
"3","Brachytherapy",2022-03-18,2
"4","Brachytherapy",2022-03-25,1
"5","Brachytherapy",2022-04-01,0
"6","Brachytherapy",2022-04-08,14
"7","Brachytherapy",2022-04-15,8
"8","Brachytherapy",2022-04-22,8
"9","Brachytherapy",2022-04-29,14
"10","Brachytherapy",2022-05-06,13
"11","Brachytherapy",2022-05-13,12
"12","Brachytherapy",2022-05-20,11
"13","Brachytherapy",2022-05-27,14
"14","Brachytherapy",2022-06-03,14
"15","Brachytherapy",2022-06-10,11
"16","Brachytherapy",2022-06-17,8
"17","Brachytherapy",2022-06-24,14
"18","Brachytherapy",2022-07-01,21
"19","Brachytherapy",2022-07-08,35
"20","Brachytherapy",2022-07-15,28
"21","Brachytherapy",2022-07-22,21
"22","Brachytherapy",2022-07-29,28
"23","Brachytherapy",2022-08-05,24
"24","Brachytherapy",2022-08-12,21
"25","Brachytherapy",2022-08-19,24
"26","Brachytherapy",2022-08-26,23
"27","Brachytherapy",2022-09-02,25
"28","Brachytherapy",2022-09-09,16
"29","Brachytherapy",2022-09-16,16
"30","Brachytherapy",2022-09-23,16
"31","Brachytherapy",2022-09-30,11
"32","Brachytherapy",2022-10-07,8
"33","Brachytherapy",2022-10-14,3
"34","Brachytherapy",2022-10-21,0
"35","Brachytherapy",2022-10-28,9
"36","Brachytherapy",2022-11-04,4
"37","Brachytherapy",2022-11-11,1
"38","Brachytherapy",2022-11-18,14
"39","Brachytherapy",2022-11-25,1
"40","Brachytherapy",2022-12-02,2
"41","Brachytherapy",2022-12-09,3
"42","Brachytherapy",2022-12-16,2
"43","Brachytherapy",2022-12-23,2
"44","Brachytherapy",2022-12-30,0
"45","Brachytherapy",2023-01-06,1
"46","Brachytherapy",2023-01-13,0
"47","Brachytherapy",2023-01-20,2
"48","Brachytherapy",2023-01-27,7
"49","Brachytherapy",2023-02-03,7
"50","Brachytherapy",2023-02-10,2
"51","Brachytherapy",2023-02-17,7
"52","Brachytherapy",2023-02-24,4
"53","Brachytherapy",2023-03-03,4
"54","Brachytherapy",2023-03-10,7
"55","Brachytherapy",2023-03-17,7
"56","Brachytherapy",2023-03-24,0
"57","Brachytherapy",2023-03-31,0
"58","Brachytherapy",2023-04-07,0
"59","Brachytherapy",2023-04-14,10
"60","Brachytherapy",2023-04-21,9
"61","Brachytherapy",2023-04-28,21
"62","Brachytherapy",2023-05-05,21
"63","Brachytherapy",2023-05-12,15
"64","Brachytherapy",2023-05-19,14
"65","Brachytherapy",2023-05-26,14
"66","Brachytherapy",2023-06-02,7
"67","Brachytherapy",2023-06-09,9
"68","Brachytherapy",2023-06-16,9
"69","Brachytherapy",2023-06-23,7
"70","Brachytherapy",2023-06-30,0
"71","Brachytherapy",2023-07-07,0
"72","Brachytherapy",2023-07-14,1
"73","Brachytherapy",2023-07-21,1
"74","Brachytherapy",2023-07-28,0
"75","Brachytherapy",2023-08-04,0
"76","Brachytherapy",2023-08-11,7
"77","Brachytherapy",2023-08-18,9
"78","Brachytherapy",2023-08-25,3
"79","Brachytherapy",2023-09-01,7
"80","Brachytherapy",2023-09-08,1
"81","Brachytherapy",2023-09-15,0
"82","Brachytherapy",2023-09-22,0
"83","Brachytherapy",2023-09-29,2
"84","Brachytherapy",2023-10-06,4
"85","Brachytherapy",2023-10-13,3
"86","Brachytherapy",2023-10-20,17
"87","Brachytherapy",2023-10-27,10
"88","Brachytherapy",2023-11-03,5
"89","Brachytherapy",2023-11-10,3
"90","Brachytherapy",2023-11-17,4
"91","Brachytherapy",2023-11-24,24
"92","Brachytherapy",2023-12-01,25
"93","Brachytherapy",2023-12-08,32
"94","Brachytherapy",2023-12-15,31
"95","Brachytherapy",2023-12-22,26
"96","Brachytherapy",2023-12-29,19
"97","Breast Oncosurgery, benign",2022-03-04,70
"98","Breast Oncosurgery, benign",2022-03-11,66
"99","Breast Oncosurgery, benign",2022-03-18,63
"100","Breast Oncosurgery, benign",2022-03-25,60
"101","Breast Oncosurgery, benign",2022-04-01,56
"102","Breast Oncosurgery, benign",2022-04-08,60
"103","Breast Oncosurgery, benign",2022-04-15,53
"104","Breast Oncosurgery, benign",2022-04-22,59
"105","Breast Oncosurgery, benign",2022-04-29,65
"106","Breast Oncosurgery, benign",2022-05-06,58
"107","Breast Oncosurgery, benign",2022-05-13,55
"108","Breast Oncosurgery, benign",2022-05-20,52
"109","Breast Oncosurgery, benign",2022-05-27,49
"110","Breast Oncosurgery, benign",2022-06-03,52
"111","Breast Oncosurgery, benign",2022-06-10,52
"112","Breast Oncosurgery, benign",2022-06-17,52
"113","Breast Oncosurgery, benign",2022-06-24,59
"114","Breast Oncosurgery, benign",2022-07-01,32
"115","Breast Oncosurgery, benign",2022-07-08,44
"116","Breast Oncosurgery, benign",2022-07-15,44
"117","Breast Oncosurgery, benign",2022-07-22,45
"118","Breast Oncosurgery, benign",2022-07-29,45
"119","Breast Oncosurgery, benign",2022-08-05,45
"120","Breast Oncosurgery, benign",2022-08-12,45
"121","Breast Oncosurgery, benign",2022-08-19,28
"122","Breast Oncosurgery, benign",2022-08-26,45
"123","Breast Oncosurgery, benign",2022-09-02,45
"124","Breast Oncosurgery, benign",2022-09-09,38
"125","Breast Oncosurgery, benign",2022-09-16,45
"126","Breast Oncosurgery, benign",2022-09-23,43
"127","Breast Oncosurgery, benign",2022-09-30,38
"128","Breast Oncosurgery, benign",2022-10-07,39
"129","Breast Oncosurgery, benign",2022-10-14,32
"130","Breast Oncosurgery, benign",2022-10-21,37
"131","Breast Oncosurgery, benign",2022-10-28,44
"132","Breast Oncosurgery, benign",2022-11-04,43
"133","Breast Oncosurgery, benign",2022-11-11,38
"134","Breast Oncosurgery, benign",2022-11-18,31
"135","Breast Oncosurgery, benign",2022-11-25,56
"136","Breast Oncosurgery, benign",2022-12-02,49
"137","Breast Oncosurgery, benign",2022-12-09,35
"138","Breast Oncosurgery, benign",2022-12-16,28
"139","Breast Oncosurgery, benign",2022-12-23,21
"140","Breast Oncosurgery, benign",2022-12-30,12
"141","Breast Oncosurgery, benign",2023-01-06,57
"142","Breast Oncosurgery, benign",2023-01-13,49
"143","Breast Oncosurgery, benign",2023-01-20,50
"144","Breast Oncosurgery, benign",2023-01-27,43
