"","Sectie","Data","Zile"
"1","Toraco-abdominală",2022-03-04,5
"2","Toraco-abdominală",2022-03-28,3
"3","Toraco-abdominală",2022-04-04,3
"4","Toraco-abdominală",2022-04-11,0
"5","Toraco-abdominală",2022-04-18,0
"6","Toraco-abdominală",2022-04-26,0
"7","Toraco-abdominală",2022-05-03,0
"8","Toraco-abdominală",2022-05-16,1
"9","Toraco-abdominală",2022-05-23,1
"10","Toraco-abdominală",2022-05-30,0
"11","Toraco-abdominală",2022-06-13,3
"12","Toraco-abdominală",2022-06-20,2
"13","Toraco-abdominală",2022-06-27,0
"14","Toraco-abdominală",2022-07-04,3
"15","Toraco-abdominală",2022-07-18,2
"16","Toraco-abdominală",2022-07-25,2
"17","Toraco-abdominală",2022-08-01,2
"18","Toraco-abdominală",2022-08-08,2
"19","Toraco-abdominală",2022-08-15,-13
"20","Toraco-abdominală",2022-08-22,3
"21","Toraco-abdominală",2022-08-29,4
"22","Toraco-abdominală",2022-09-05,0
"23","Toraco-abdominală",2022-09-12,3
"24","Toraco-abdominală",2022-09-19,3
"25","Toraco-abdominală",2022-09-26,3
"26","Toraco-abdominală",2022-10-03,3
"27","Toraco-abdominală",2022-10-10,3
"28","Toraco-abdominală",2022-10-17,1
"29","Toraco-abdominală",2022-10-24,3
"30","Toraco-abdominală",2022-10-31,1
"31","Toraco-abdominală",2022-11-07,2
"32","Toraco-abdominală",2022-11-14,3
"33","Toraco-abdominală",2022-11-21,3
"34","Toraco-abdominală",2022-11-28,3
"35","Toraco-abdominală",2022-12-05,3
"36","Toraco-abdominală",2022-12-12,2
"37","Toraco-abdominală",2022-12-19,2
"38","Toraco-abdominală",2022-12-26,0
"39","Toraco-abdominală",2023-01-02,1
"40","Toraco-abdominală",2023-01-09,0
"41","Toraco-abdominală",2023-01-16,0
"42","Toraco-abdominală",2023-01-23,3
"43","Toraco-abdominală",2023-01-30,0
"44","Toraco-abdominală",2023-02-06,3
"45","Toraco-abdominală",2023-02-13,3
"46","Toraco-abdominală",2023-02-20,4
"47","Toraco-abdominală",2023-02-27,1
"48","Toraco-abdominală",2023-03-06,1
"49","Toraco-abdominală",2023-03-13,10
"50","Toraco-abdominală",2023-03-20,3
"51","Toraco-abdominală",2023-03-27,18
"52","Toraco-abdominală",2023-04-03,15
"53","Toraco-abdominală",2023-04-10,8
"54","Toraco-abdominală",2023-04-17,8
"55","Toraco-abdominală",2023-04-24,3
"56","Toraco-abdominală",2023-05-01,3
"57","Toraco-abdominală",2023-05-08,2
"58","Toraco-abdominală",2023-05-15,4
"59","Toraco-abdominală",2023-05-22,2
"60","Toraco-abdominală",2023-05-29,3
"61","Toraco-abdominală",2023-06-05,1
"62","Toraco-abdominală",2023-06-12,1
"63","Toraco-abdominală",2023-06-19,3
"64","Toraco-abdominală",2023-06-26,0
"65","Toraco-abdominală",2023-07-03,7
"66","Toraco-abdominală",2023-07-10,2
"67","Toraco-abdominală",2023-07-17,1
"68","Toraco-abdominală",2023-07-24,1
"69","Toraco-abdominală",2023-07-31,3
"70","Toraco-abdominală",2023-08-07,2
"71","Toraco-abdominală",2023-08-14,1
"72","Toraco-abdominală",2023-08-21,0
"73","Toraco-abdominală",2023-08-28,1
"74","Toraco-abdominală",2023-09-04,0
"75","Toraco-abdominală",2023-09-11,0
"76","Toraco-abdominală",2023-09-18,0
"77","Toraco-abdominală",2023-09-25,0
"78","Broncoscopie Chirurugie de o zi",2022-03-04,1
"79","Broncoscopie Chirurugie de o zi",2022-03-28,1
"80","Broncoscopie Chirurugie de o zi",2022-04-04,1
"81","Broncoscopie Chirurugie de o zi",2022-04-11,1
"82","Broncoscopie Chirurugie de o zi",2022-04-18,1
"83","Broncoscopie Chirurugie de o zi",2022-04-26,1
"84","Broncoscopie Chirurugie de o zi",2022-05-03,1
"85","Broncoscopie Chirurugie de o zi",2022-05-16,1
"86","Broncoscopie Chirurugie de o zi",2022-05-23,1
"87","Broncoscopie Chirurugie de o zi",2022-05-30,1
"88","Broncoscopie Chirurugie de o zi",2022-06-13,1
"89","Broncoscopie Chirurugie de o zi",2022-06-20,1
"90","Broncoscopie Chirurugie de o zi",2022-06-27,1
"91","Broncoscopie Chirurugie de o zi",2022-07-04,1
"92","Broncoscopie Chirurugie de o zi",2022-07-18,1
"93","Broncoscopie Chirurugie de o zi",2022-07-25,1
"94","Broncoscopie Chirurugie de o zi",2022-08-01,1
"95","Broncoscopie Chirurugie de o zi",2022-08-08,1
"96","Broncoscopie Chirurugie de o zi",2022-08-15,1
"97","Broncoscopie Chirurugie de o zi",2022-08-22,1
"98","Broncoscopie Chirurugie de o zi",2022-08-29,1
"99","Broncoscopie Chirurugie de o zi",2022-09-05,1
"100","Broncoscopie Chirurugie de o zi",2022-09-12,1
"101","Broncoscopie Chirurugie de o zi",2022-09-19,1
"102","Broncoscopie Chirurugie de o zi",2022-09-26,1
"103","Broncoscopie Chirurugie de o zi",2022-10-03,1
"104","Broncoscopie Chirurugie de o zi",2022-10-10,1
"105","Broncoscopie Chirurugie de o zi",2022-10-17,1
"106","Broncoscopie Chirurugie de o zi",2022-10-24,1
"107","Broncoscopie Chirurugie de o zi",2022-10-31,1
"108","Broncoscopie Chirurugie de o zi",2022-11-07,1
"109","Broncoscopie Chirurugie de o zi",2022-11-14,1
"110","Broncoscopie Chirurugie de o zi",2022-11-21,1
"111","Broncoscopie Chirurugie de o zi",2022-11-28,1
"112","Broncoscopie Chirurugie de o zi",2022-12-05,1
"113","Broncoscopie Chirurugie de o zi",2022-12-12,1
"114","Broncoscopie Chirurugie de o zi",2022-12-19,1
"115","Broncoscopie Chirurugie de o zi",2022-12-26,1
"116","Broncoscopie Chirurugie de o zi",2023-01-02,1
"117","Broncoscopie Chirurugie de o zi",2023-01-09,1
"118","Broncoscopie Chirurugie de o zi",2023-01-16,1
"119","Broncoscopie Chirurugie de o zi",2023-01-23,1
"120","Broncoscopie Chirurugie de o zi",2023-01-30,1
"121","Broncoscopie Chirurugie de o zi",2023-02-06,1
"122","Broncoscopie Chirurugie de o zi",2023-02-13,1
"123","Broncoscopie Chirurugie de o zi",2023-02-20,1
"124","Broncoscopie Chirurugie de o zi",2023-02-27,1
"125","Broncoscopie Chirurugie de o zi",2023-03-06,1
"126","Broncoscopie Chirurugie de o zi",2023-03-13,8
"127","Broncoscopie Chirurugie de o zi",2023-03-20,1
"128","Broncoscopie Chirurugie de o zi",2023-03-27,3
"129","Broncoscopie Chirurugie de o zi",2023-04-03,0
"130","Broncoscopie Chirurugie de o zi",2023-04-10,1
"131","Broncoscopie Chirurugie de o zi",2023-04-17,8
"132","Broncoscopie Chirurugie de o zi",2023-04-24,8
"133","Broncoscopie Chirurugie de o zi",2023-05-01,10
"134","Broncoscopie Chirurugie de o zi",2023-05-08,10
"135","Broncoscopie Chirurugie de o zi",2023-05-15,8
"136","Broncoscopie Chirurugie de o zi",2023-05-22,1
"137","Broncoscopie Chirurugie de o zi",2023-05-29,3
"138","Broncoscopie Chirurugie de o zi",2023-06-05,1
"139","Broncoscopie Chirurugie de o zi",2023-06-12,3
"140","Broncoscopie Chirurugie de o zi",2023-06-19,2
"141","Broncoscopie Chirurugie de o zi",2023-06-26,3
"142","Broncoscopie Chirurugie de o zi",2023-07-03,1
"143","Broncoscopie Chirurugie de o zi",2023-07-10,3
"144","Broncoscopie Chirurugie de o zi",2023-07-17,3
"145","Broncoscopie Chirurugie de o zi",2023-07-24,0
"146","Broncoscopie Chirurugie de o zi",2023-07-31,3
"147","Broncoscopie Chirurugie de o zi",2023-08-07,3
"148","Broncoscopie Chirurugie de o zi",2023-08-14,7
"149","Broncoscopie Chirurugie de o zi",2023-08-21,3
"150","Broncoscopie Chirurugie de o zi",2023-08-28,7
"151","Broncoscopie Chirurugie de o zi",2023-09-04,1
"152","Broncoscopie Chirurugie de o zi",2023-09-11,7
"153","Broncoscopie Chirurugie de o zi",2023-09-18,8
"154","Broncoscopie Chirurugie de o zi",2023-09-25,1
"155","Gastrologie",2022-03-04,0
"156","Gastrologie",2022-03-28,0
"157","Gastrologie",2022-04-04,0
"158","Gastrologie",2022-04-11,0
"159","Gastrologie",2022-04-18,0
"160","Gastrologie",2022-04-26,0
"161","Gastrologie",2022-05-03,0
"162","Gastrologie",2022-05-16,0
"163","Gastrologie",2022-05-23,0
"164","Gastrologie",2022-05-30,0
"165","Gastrologie",2022-06-13,0
"166","Gastrologie",2022-06-20,0
"167","Gastrologie",2022-06-27,0
"168","Gastrologie",2022-07-04,7
"169","Gastrologie",2022-07-18,0
"170","Gastrologie",2022-07-25,0
"171","Gastrologie",2022-08-01,0
"172","Gastrologie",2022-08-08,1
"173","Gastrologie",2022-08-15,0
"174","Gastrologie",2022-08-22,0
"175","Gastrologie",2022-08-29,0
"176","Gastrologie",2022-09-05,0
"177","Gastrologie",2022-09-12,0
"178","Gastrologie",2022-09-19,0
"179","Gastrologie",2022-09-26,0
"180","Gastrologie",2022-10-03,0
"181","Gastrologie",2022-10-10,0
"182","Gastrologie",2022-10-17,0
"183","Gastrologie",2022-10-24,0
"184","Gastrologie",2022-10-31,0
"185","Gastrologie",2022-11-07,0
"186","Gastrologie",2022-11-14,0
"187","Gastrologie",2022-11-21,0
"188","Gastrologie",2022-11-28,0
"189","Gastrologie",2022-12-05,0
"190","Gastrologie",2022-12-12,0
"191","Gastrologie",2022-12-19,0
"192","Gastrologie",2022-12-26,0
"193","Gastrologie",2023-01-02,0
"194","Gastrologie",2023-01-09,0
"195","Gastrologie",2023-01-16,0
"196","Gastrologie",2023-01-23,0
"197","Gastrologie",2023-01-30,0
"198","Gastrologie",2023-02-06,2
"199","Gastrologie",2023-02-13,7
"200","Gastrologie",2023-02-20,7
"201","Gastrologie",2023-02-27,1
"202","Gastrologie",2023-03-06,0
"203","Gastrologie",2023-03-13,-7
